in,out,Month_Start,Year_Start,in_up,in_down,out_up,out_down
200304714.0,818710075.0,0,0,0.0,200304714.0,0.0,818710075.0
156016405.7142857,432655869.71428573,0,0,0.0,156016405.7142857,0.0,432655869.71428573
150116630.85714287,395932804.5714286,256,0,0.0,150116630.85714287,0.0,395932804.5714286
180556217.33333334,494074532.0,0,0,180556217.33333334,0.0,494074532.0,0.0
253507835.42857143,1478677686.857143,0,0,253507835.42857143,0.0,1478677686.857143,0.0
151298450.2857143,375989262.85714287,0,0,0.0,151298450.2857143,0.0,375989262.85714287
164135382.85714287,397304428.5714286,0,0,164135382.85714287,0.0,397304428.5714286,0.0
161330528.0,421700864.0,0,0,0.0,161330528.0,421700864.0,0.0
256955251.42857143,1498742707.4285715,0,0,256955251.42857143,0.0,1498742707.4285715,0.0
142429562.2857143,327795347.4285714,0,0,0.0,142429562.2857143,0.0,327795347.4285714
130674648.0,328026921.14285713,0,0,0.0,130674648.0,328026921.14285713,0.0
138466454.0,640016844.0,0,0,138466454.0,0.0,640016844.0,0.0
201812880.0,969709514.0,0,0,201812880.0,0.0,969709514.0,0.0
246541617.14285713,1454641928.0,0,0,246541617.14285713,0.0,1454641928.0,0.0
380436274.28571427,2433053937.142857,0,0,380436274.28571427,0.0,2433053937.142857,0.0
410352232.0,2723253229.3333335,0,0,410352232.0,0.0,2723253229.3333335,0.0
185863332.0,455954944.0,0,0,0.0,185863332.0,0.0,455954944.0
337720419.4285714,2230536057.142857,0,0,337720419.4285714,0.0,2230536057.142857,0.0
426299637.71428573,2904211851.428571,0,0,426299637.71428573,0.0,2904211851.428571,0.0
424104299.4285714,3480882088.0,0,0,0.0,424104299.4285714,3480882088.0,0.0
553257172.0,3842531436.0,0,0,553257172.0,0.0,3842531436.0,0.0
271641077.3333333,1500013776.0,0,0,0.0,271641077.3333333,0.0,1500013776.0
433892720.0,3261767636.571429,0,0,433892720.0,0.0,3261767636.571429,0.0
427117283.4285714,3152129042.285714,0,0,0.0,427117283.4285714,0.0,3152129042.285714
506825970.0,3509971692.0,0,0,506825970.0,0.0,3509971692.0,0.0
223912924.0,1056483232.0,0,0,0.0,223912924.0,0.0,1056483232.0
332152117.71428573,2247963184.0,0,0,332152117.71428573,0.0,2247963184.0,0.0
175007891.42857143,627552577.1428572,0,0,0.0,175007891.42857143,0.0,627552577.1428572
102305140.0,416910024.0,256,256,0.0,102305140.0,0.0,416910024.0
286056835.4444444,1368251818.5555556,256,256,286056835.4444444,0.0,1368251818.5555556,0.0
298773418.28571427,1706888370.2857144,0,0,298773418.28571427,0.0,1706888370.2857144,0.0
337267915.4285714,1941786222.857143,0,0,337267915.4285714,0.0,1941786222.857143,0.0
453846377.14285713,3061143121.142857,0,0,453846377.14285713,0.0,3061143121.142857,0.0
381963789.71428573,2482777993.142857,256,0,0.0,381963789.71428573,0.0,2482777993.142857
299773923.4285714,1515896333.7142856,0,0,0.0,299773923.4285714,0.0,1515896333.7142856
436708409.14285713,2742682866.285714,0,0,436708409.14285713,0.0,2742682866.285714,0.0
451536038.85714287,2879462953.142857,0,0,451536038.85714287,0.0,2879462953.142857,0.0
414539578.28571427,2485873518.857143,256,0,0.0,414539578.28571427,0.0,2485873518.857143
278467026.28571427,1304704385.142857,0,0,0.0,278467026.28571427,0.0,1304704385.142857
487683605.71428573,2860809483.428571,0,0,487683605.71428573,0.0,2860809483.428571,0.0
410264459.4285714,2431198208.0,0,0,0.0,410264459.4285714,0.0,2431198208.0
201877394.2857143,889109938.2857143,0,0,0.0,201877394.2857143,0.0,889109938.2857143
298059153.14285713,1615098140.5714285,256,0,298059153.14285713,0.0,1615098140.5714285,0.0
336165238.85714287,1867159768.0,0,0,336165238.85714287,0.0,1867159768.0,0.0
428915192.0,2758158924.571429,0,0,428915192.0,0.0,2758158924.571429,0.0
431893168.0,2711183851.428571,0,0,431893168.0,0.0,0.0,2711183851.428571
526345022.85714287,2284853891.428571,256,0,526345022.85714287,0.0,0.0,2284853891.428571
317234291.0,1609030968.0,0,0,0.0,317234291.0,0.0,1609030968.0
376076704.0,2227224603.428571,0,0,376076704.0,0.0,2227224603.428571,0.0
325492298.28571427,1932170549.7142856,0,0,0.0,325492298.28571427,0.0,1932170549.7142856
298332808.0,1764200672.0,256,0,0.0,298332808.0,0.0,1764200672.0
226732033.14285713,1178596576.0,0,0,0.0,226732033.14285713,0.0,1178596576.0
312148646.0,1541361146.4285715,0,0,312148646.0,0.0,1541361146.4285715,0.0
194744284.57142857,525903134.85714287,0,0,0.0,194744284.57142857,0.0,525903134.85714287
175110170.2857143,455988737.14285713,0,0,0.0,175110170.2857143,0.0,455988737.14285713
322490795.4285714,1841617738.2857144,256,0,322490795.4285714,0.0,1841617738.2857144,0.0
296511556.71428573,1455685208.4285715,0,0,0.0,296511556.71428573,0.0,1455685208.4285715
197576505.14285713,509159241.14285713,0,0,0.0,197576505.14285713,0.0,509159241.14285713
182783542.85714287,468725742.85714287,0,0,0.0,182783542.85714287,0.0,468725742.85714287
309021205.71428573,1571517988.5714285,256,0,309021205.71428573,0.0,1571517988.5714285,0.0
305301845.71428573,1453700062.857143,0,0,0.0,305301845.71428573,0.0,1453700062.857143
193665932.0,668016982.7142857,0,0,0.0,193665932.0,0.0,668016982.7142857
182395705.14285713,397715924.5714286,0,0,0.0,182395705.14285713,0.0,397715924.5714286
222529792.0,577390968.0,256,0,222529792.0,0.0,577390968.0,0.0
291018286.85714287,1423279840.0,0,0,291018286.85714287,0.0,1423279840.0,0.0
254335584.42857143,1257683993.7142856,0,0,0.0,254335584.42857143,0.0,1257683993.7142856
243118066.2857143,772508309.7142857,0,0,0.0,243118066.2857143,0.0,772508309.7142857
448397029.71428573,2443307558.857143,0,0,448397029.71428573,0.0,2443307558.857143,0.0
347316822.85714287,1855572766.857143,256,0,0.0,347316822.85714287,0.0,1855572766.857143
350448919.28571427,1735226321.5714285,0,0,350448919.28571427,0.0,0.0,1735226321.5714285
479555916.5714286,2603440461.714286,0,0,479555916.5714286,0.0,2603440461.714286,0.0
465783355.4285714,2715014925.714286,0,0,0.0,465783355.4285714,2715014925.714286,0.0
506959189.71428573,2631756404.571429,256,0,506959189.71428573,0.0,0.0,2631756404.571429
259909034.2857143,1081279738.2857144,0,0,0.0,259909034.2857143,0.0,1081279738.2857144
462506911.0,2846989653.714286,0,0,462506911.0,0.0,2846989653.714286,0.0
